UID,0,1,2,3,4,5,6,7,8,9,10
1A12DE440,,,,,,,,,,,
1A12DE441,,,,,,,,,,,
1A12DE442,2016 W12,2016 W13,2016 W15,2016 W39,2016 W42,,,,,,
1A12DE443,2016 W27,2016 W28,,,,,,,,,
1A12DE444,2016 W46,,,,,,,,,,
1A12DE445,,,,,,,,,,,
1A12DE446,,,,,,,,,,,
1A12DE447,2016 W42,,,,,,,,,,
1A12DE448,2016 W39,2016 W43,,,,,,,,,
1A12DE449,,,,,,,,,,,
1A12DE450,2016 W43,2016 W45,,,,,,,,,
1A12DE451,2016 W13,2016 W15,2016 W42,,,,,,,,
1A12DE452,,,,,,,,,,,
1A12DE453,2016 W12,,,,,,,,,,
1A12DE454,,,,,,,,,,,
1A12DE455,,,,,,,,,,,
1A12DE456,2016 W46,,,,,,,,,,
1A12DE457,,,,,,,,,,,
1A12DE458,,,,,,,,,,,
1A12DE459,,,,,,,,,,,
1A12DE460,2016 W41,,,,,,,,,,
1A12DE461,,,,,,,,,,,
1A12DE462,2016 W45,,,,,,,,,,
1A12DE463,2016 W42,,,,,,,,,,
1A12DE464,2016 W39,,,,,,,,,,
1A12DE465,2016 W38,2016 W40,2016 W41,,,,,,,,
1A12DE466,,,,,,,,,,,
1A12DE467,2016 W11,2016 W40,,,,,,,,,
1A12DE468,2016 W15,2016 W39,,,,,,,,,
1A12DE469,2016 W08,2016 W11,2016 W12,2016 W36,,,,,,,
1A12DE470,2016 W43,,,,,,,,,,
1A12DE471,2016 W40,2016 W41,2016 W43,,,,,,,,
1A12DE472,2016 W41,,,,,,,,,,
1A12DE473,2016 W36,2016 W37,,,,,,,,,
1A12DE474,,,,,,,,,,,
1A12DE475,2016 W43,2016 W45,,,,,,,,,
1A12DE476,,,,,,,,,,,
1A12DE477,,,,,,,,,,,
1A12DE478,2016 W44,,,,,,,,,,
1A12DE479,,,,,,,,,,,
1A12DE480,,,,,,,,,,,
1A12DE481,,,,,,,,,,,
1A12DE482,2016 W14,2017 W04,,,,,,,,,
1A12DE483,2016 W36,2016 W38,,,,,,,,,
1A12DE484,2016 W45,2016 W46,,,,,,,,,
1A12DE485,,,,,,,,,,,
1A12DE486,2016 W38,2016 W39,,,,,,,,,
1A12DE487,,,,,,,,,,,
1A12DE488,,,,,,,,,,,
1A12DE489,2016 W08,2016 W10,2016 W36,2016 W37,,,,,,,
1A12DE490,,,,,,,,,,,
1A12DE491,,,,,,,,,,,
1A12DE492,,,,,,,,,,,
1A12DE493,2016 W12,2016 W13,,,,,,,,,
1A12DE494,2016 W22,2016 W23,2016 W28,,,,,,,,
1A12DE495,2016 W09,2016 W11,2016 W12,2016 W13,2016 W14,2016 W37,2016 W38,2016 W39,,,
1A12DE496,2016 W11,2016 W13,2016 W14,2016 W15,2016 W38,,,,,,
1A12DE497,,,,,,,,,,,
1A12DE498,2016 W24,,,,,,,,,,
1A12DE499,,,,,,,,,,,
1A12DE500,2016 W18,2016 W19,2016 W21,2016 W23,,,,,,,
1A12DE501,2016 W42,2016 W43,2016 W44,,,,,,,,
1A12DE502,2016 W15,,,,,,,,,,
1A12DE503,2017 W04,,,,,,,,,,
1A12DE504,,,,,,,,,,,
1A12DE505,,,,,,,,,,,
1A12DE506,2016 W14,2016 W17,2016 W20,2016 W21,2017 W25,,,,,,
1A12DE507,,,,,,,,,,,
1A12DE508,2016 W43,2016 W47,,,,,,,,,
1A12DE509,,,,,,,,,,,
1A12DE510,2016 W38,,,,,,,,,,
1A12DE511,2016 W34,2016 W35,2016 W36,2016 W37,2016 W38,,,,,,
1A12DE512,2016 W15,2016 W39,,,,,,,,,
1A12DE513,2016 W39,2016 W40,,,,,,,,,
1A12DE514,2016 W43,,,,,,,,,,
1A12DE515,,,,,,,,,,,
1A12DE516,2016 W08,2016 W09,2016 W10,2016 W13,2016 W36,,,,,,
1A12DE517,2016 W42,,,,,,,,,,
1A12DE518,2016 W37,2016 W38,2016 W40,,,,,,,,
1A12DE519,,,,,,,,,,,
1A12DE520,2016 W11,2016 W34,2016 W36,2016 W40,,,,,,,
1A12DE521,2016 W41,,,,,,,,,,
