UID,Week,Season
1A12DE282,10/17/16,S2016
1A12DE286,3/21/16,L2016
1A12DE287,3/14/16,L2016
1A12DE288,9/12/16,S2016
1A12DE289,10/17/16,S2016
1A12DE290,9/19/16,S2016
1A12DE291,5/9/16,L2016
1A12DE292,1/23/17,L2017
1A12DE293,9/19/16,S2016
1A12DE296,3/14/16,L2016
1A12DE298,5/16/16,L2016
1A12DE304,4/25/16,L2016
1A12DE305,3/21/16,L2016
1A12DE306,10/17/16,S2016
1A12DE308,10/3/16,S2016
1A12DE309,9/19/16,S2016
1A12DE310,9/26/16,S2016
1A12DE311,8/22/16,S2016
1A12DE312,10/3/16,S2016
1A12DE314,3/7/16,L2016
1A12DE315,9/26/16,S2016
1A12DE316,3/14/16,L2016
1A12DE317,10/24/16,S2016
1A12DE318,10/17/16,S2016
1A12DE319,10/10/16,S2016
1A12DE322,3/14/16,L2016
1A12DE323,9/19/16,S2016
1A12DE325,10/17/16,S2016
1A12DE328,10/31/16,S2016
1A12DE329,10/17/16,S2016
1A12DE331,3/7/16,L2016
1A12DE333,9/12/16,S2016
1A12DE334,10/3/16,S2016
1A12DE335,10/17/16,S2016
